model_name,tuning,train_time,best_params,cv_roc_auc_mean,cv_roc_auc_std,cv_roc_auc_train,cv_f1_mean,cv_f1_std,cv_f1_train,cv_precision_mean,cv_precision_std,cv_precision_train,cv_recall_mean,cv_recall_std,cv_recall_train,test_accuracy,test_precision,test_recall,test_f1,test_specificity,test_balanced_accuracy,test_mcc,test_kappa,test_tn,test_fp,test_fn,test_tp,test_roc_auc,test_avg_precision
Random Forest,random,11.474593877792358,"{'n_estimators': 200, 'min_samples_split': 2, 'max_depth': 15, 'class_weight': None}",0.9053502279770577,0.014079289890143854,0.9999820197225449,0.09466478893573134,0.03722930798778374,0.880057225021913,0.40875901875901877,0.18893133415781183,1.0,0.05452488687782805,0.022679169586568248,0.7859815297182097,0.9572708476912474,0.625,0.078125,0.1388888888888889,0.9978370583994232,0.5379810291997116,0.21064287956633734,0.13036501430670488,1384,3,59,5,0.9419047404470079,0.4815066633053658
LightGBM,baseline,1.8834376335144043,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 1.0, 'importance_type': 'split', 'learning_rate': 0.1, 'max_depth': -1, 'min_child_samples': 20, 'min_child_weight': 0.001, 'min_split_gain': 0.0, 'n_estimators': 100, 'n_jobs': None, 'num_leaves': 31, 'objective': None, 'random_state': 42, 'reg_alpha': 0.0, 'reg_lambda': 0.0, 'subsample': 1.0, 'subsample_for_bin': 200000, 'subsample_freq': 0, 'scale_pos_weight': 10, 'verbose': -1}",0.8647858755810699,0.02145404845598869,0.9999938609395717,0.3820365415378435,0.05399525540621985,0.9453231542394713,0.4258639692485029,0.08385257927954506,0.8963755547695795,0.35037707390648565,0.04217392542776014,1.0,0.9483115093039284,0.4225352112676056,0.46875,0.4444444444444444,0.9704397981254506,0.7195948990627252,0.41803413248541005,0.41741569725423855,1346,41,34,30,0.9306506849315068,0.4416982799306549
Random Forest,baseline,0.6469912528991699,"{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'n_estimators': 100, 'n_jobs': None, 'oob_score': False, 'random_state': 42, 'verbose': 0, 'warm_start': False}",0.9023177036393651,0.009444117426586034,1.0,0.11207574377656344,0.03570306399993743,0.9995133819951338,0.43,0.141752697189485,1.0,0.06613876319758674,0.023212076745955518,0.9990291262135923,0.9600275671950379,0.75,0.140625,0.23684210526315788,0.9978370583994232,0.5692310291997116,0.31393373073577574,0.22606216663601253,1384,3,55,9,0.9281779470079308,0.48712647616309845
CatBoost,random,12.652697801589966,"{'scale_pos_weight': 10, 'learning_rate': 0.05, 'iterations': 200, 'depth': 4}",0.8771536162268104,0.018128858884902094,0.9629543110517179,0.3607081183805397,0.04312469831753913,0.503721152853959,0.2611836970617939,0.03384098555525279,0.3632925752955192,0.5836349924585219,0.05886818121967712,0.8219512195121951,0.9097174362508614,0.2838709677419355,0.6875,0.4018264840182648,0.9199711607786589,0.8037355803893295,0.40381786901432043,0.3619922867528841,1276,111,20,44,0.9191262617159336,0.37691469503097985
XGBoost,random,6.822773456573486,"{'scale_pos_weight': 10, 'n_estimators': 200, 'max_depth': 3, 'learning_rate': 0.05}",0.8724756567469862,0.01949986152219845,0.9685714076824157,0.3556647970318495,0.05415524024995446,0.49486372575232485,0.2532966988603358,0.04156541899441591,0.34977785084516444,0.5990196078431372,0.08157551043277635,0.8462798958086667,0.9028256374913852,0.2608695652173913,0.65625,0.37333333333333335,0.9142033165104542,0.7852266582552271,0.3729413458482378,0.33111123462158387,1268,119,22,42,0.9176786679884643,0.3795039844417255
XGBoost,baseline,0.2979245185852051,"{'objective': 'binary:logistic', 'base_score': None, 'booster': None, 'callbacks': None, 'colsample_bylevel': None, 'colsample_bynode': None, 'colsample_bytree': None, 'device': None, 'early_stopping_rounds': None, 'enable_categorical': False, 'eval_metric': 'logloss', 'feature_types': None, 'feature_weights': None, 'gamma': None, 'grow_policy': None, 'importance_type': None, 'interaction_constraints': None, 'learning_rate': None, 'max_bin': None, 'max_cat_threshold': None, 'max_cat_to_onehot': None, 'max_delta_step': None, 'max_depth': None, 'max_leaves': None, 'min_child_weight': None, 'missing': nan, 'monotone_constraints': None, 'multi_strategy': None, 'n_estimators': 100, 'n_jobs': None, 'num_parallel_tree': None, 'random_state': 42, 'reg_alpha': None, 'reg_lambda': None, 'sampling_method': None, 'scale_pos_weight': 10, 'subsample': None, 'tree_method': None, 'validate_parameters': None, 'verbosity': None}",0.8665359167471367,0.027526887088060618,1.0,0.3692079349222206,0.059576550198655875,0.9995133819951338,0.5068421111899373,0.1013701010868609,0.9990291262135923,0.29600301659125183,0.052403234821159564,1.0,0.957960027567195,0.5306122448979592,0.40625,0.46017699115044247,0.9834174477289113,0.6948337238644556,0.4429455037992579,0.4387060770747855,1364,23,38,26,0.9160508291276135,0.49015826341150454
CatBoost,baseline,0.771233081817627,"{'iterations': 100, 'verbose': False, 'random_state': 42, 'scale_pos_weight': 10}",0.8689528535371952,0.023581142211353167,0.9995862336244283,0.3812192430713623,0.059857536907562896,0.8959768781165582,0.37829885057471263,0.06321105077556151,0.8117199805126324,0.3893665158371041,0.06945926533673306,1.0,0.9421088904203997,0.38095238095238093,0.5,0.43243243243243246,0.9625090122566691,0.7312545061283345,0.40665350215150303,0.4025176964254201,1335,52,32,32,0.914394826964672,0.43466564068657526
Logistic Regression,grid,11.548139810562134,"{'C': 0.1, 'class_weight': None}",0.8823967563952639,0.025404782106785484,0.9001591124191404,0.1302721384077316,0.03905323491653403,0.18004054784308055,0.41054778554778554,0.17718607893887078,0.5021771019677997,0.07790346907993967,0.02169482850330363,0.10993132843949797,0.9552033080634046,0.4666666666666667,0.109375,0.17721518987341772,0.9942321557317952,0.5518035778658976,0.21032704463300456,0.16319903468223473,1379,8,57,7,0.9090212689257389,0.33153863808525996
Logistic Regression,baseline,0.7385518550872803,"{'C': 1.0, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 1000, 'multi_class': 'deprecated', 'n_jobs': None, 'penalty': 'l2', 'random_state': 42, 'solver': 'lbfgs', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",0.8764265970569427,0.028538138719644078,0.9016376933189962,0.16387570307652274,0.037989849032972325,0.20914130398225367,0.4328205128205128,0.1157475772690534,0.5079587362991618,0.10128205128205128,0.023253692592813752,0.13231352119346437,0.9558924879393522,0.5,0.109375,0.1794871794871795,0.9949531362653208,0.5521640681326604,0.219147875483238,0.1662866069344442,1380,7,57,7,0.8983980713770728,0.32948922210467935
Naive Bayes,baseline,0.008757829666137695,"{'priors': None, 'var_smoothing': 1e-09}",0.8295251326504299,0.0343398525464651,0.8601274341700206,0.2770597113348629,0.04184215005501878,0.2974312942811363,0.1768316622341996,0.032192839474538014,0.18921731275753584,0.6577677224736048,0.07473053083511215,0.7081269239876866,0.8594073053066851,0.20085470085470086,0.734375,0.31543624161073824,0.8651766402307137,0.7997758201153569,0.3347353626012458,0.2644876579715042,1200,187,17,47,0.8461607786589762,0.252530932987515
Decision Tree,grid,0.859001636505127,"{'class_weight': 'balanced', 'max_depth': 3, 'min_samples_split': 2}",0.8083171193996235,0.010457607727527029,0.8508091682201219,0.23196446159435102,0.03734822565991458,0.2479807178654279,0.13781236762822363,0.02751114720753287,0.1466297849803251,0.7738310708898946,0.056208250918512816,0.8376651669429316,0.771881461061337,0.13821138211382114,0.796875,0.23556581986143188,0.7707281903388609,0.7838015951694304,0.26763704854158143,0.17342711741310146,1069,318,13,51,0.8361459084354722,0.16243513594336828
Decision Tree,baseline,0.05128765106201172,"{'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'random_state': 42, 'splitter': 'best'}",0.5936332527972512,0.03068408341965598,1.0,0.23913102573396156,0.06671557922039413,1.0,0.2706908624110165,0.07913567988314721,1.0,0.21432880844645555,0.05778199635411082,1.0,0.943487250172295,0.3392857142857143,0.296875,0.31666666666666665,0.9733237202595529,0.6350993601297765,0.2880251344102458,0.287328094302554,1350,37,45,19,0.6350993601297765,0.13173854084621445
